"","x"
"1","love"
"2","echo!"
"3","loved"
"4","!"
"5","sometimes"
"6","playing"
"7","game,"
"8","can"
"9","answer"
"10","question"
"11","correctly"
"12","alexa"
"13","says"
"14","got"
"15","wrong"
"16","answers"
"17","."
"18","like"
"19","able"
"20","turn"
"21","lights"
"22","away"
"23","home."
"24",""
"25","lot"
"26","fun"
"27","thing."
"28","4"
"29","yr"
"30","old"
"31","learns"
"32","dinosaurs,"
"33","control"
"34","lights"
"35","play"
"36","games"
"37","like"
"38","categories."
"39","nice"
"40","sound"
"41","playing"
"42","music"
"43","well."
"44","music"
"45",""
"46","received"
"47","echo"
"48","gift."
"49","needed"
"50","another"
"51","bluetooth"
"52","something"
"53","play"
"54","music"
"55","easily"
"56","accessible,"
"57","found"
"58","smart"
"59","speaker."
"60","can’t"
"61","wait"
"62","see"
"63","else"
"64","can"
"65","."
"66","without"
"67","cellphone,"
"68","use"
"69","many"
"70","features."
"71","ipad"
"72","see"
"73","use."
"74","great"
"75","alarm."
"76","u"
"77","r"
"78","almost"
"79","deaf,"
"80","can"
"81","hear"
"82","alarm"
"83","bedroom"
"84","living"
"85","room,"
"86","reason"
"87","enough"
"88","keep"
"89","."
"90","fun"
"91","ask"
"92","random"
"93","questions"
"94","hear"
"95","response."
"96","seem"
"97","smartbon"
"98","politics"
"99","yet."
"100",""
"101","think"
"102","5th"
"103","one"
"104","ive"
"105","purchased."
"106","im"
"107","working"
"108","getting"
"109","one"
"110","every"
"111","room"
"112","house."
"113","really"
"114","like"
"115","features"
"116","offer"
"117","specifily"
"118","playing"
"119","music"
"120","echos"
"121","controlling"
"122","lights"
"123","throughout"
"124","house."
"125","looks"
"126","great"
"127","love"
"128","!"
"129","i’ve"
"130","listened"
"131","songs"
"132","haven’t"
"133","heard"
"134","since"
"135","childhood!"
"136","get"
"137","news,"
"138","weather,"
"139","information!"
"140","it’s"
"141","great!"
"142",""
"143","sent"
"144","85"
"145","year"
"146","old"
"147","dad,"
"148","talks"
"149","constantly."
"150",""
"151","love"
"152","!"
"153","learning"
"154","knew"
"155","things"
"156","eveyday!"
"157","still"
"158","figuring"
"159","everything"
"160","works"
"161","far"
"162","easy"
"163","use"
"164","understand."
"165","make"
"166","laugh"
"167","times"
"168","1"
"169","5"
"170","30-jul-18"
"171","oak"
"172","finish"
"173",""""
"174","purchased"
"175","mother"
"176","knee"
"177","problems"
"178","now,"
"179","give"
"180","something"
"181","trying"
"182","come"
"183","getting"
"184","around"
"185","fast"
"186","like"
"187","."
"188","enjoys"
"189","little"
"190","big"
"191","things"
"192","can"
"193","...alexa"
"194","play"
"195","song,"
"196","time"
"197",","
"198","cook"
"199","!"""
"200","1"
"201","5"
"202","30-jul-18"
"203","charcoal"
"204","fabric"
"205","""love,"
"206","love,"
"207","love!!"""
"208","1"
"209","5"
"210","30-jul-18"
"211","oak"
"212","finish"
"213","just"
"214","expected...."
"215","1"
"216","5"
"217","30-jul-18"
"218","heather"
"219","gray"
"220","fabric"
"221",""""
"222","love"
"223",","
"224","wife"
"225","hates"
"226","."""
"227","1"
"228","5"
"229","30-jul-18"
"230","heather"
"231","gray"
"232","fabric"
"233","really"
"234","happy"
"235","purchase."
"236","great"
"237","speaker"
"238","easy"
"239","set"
"240","."
"241","1"
"242","5"
"243","30-jul-18"
"244","heather"
"245","gray"
"246","fabric"
"247","using"
"248","alexa"
"249","couple"
"250","days"
"251","lot"
"252","fun"
"253","new"
"254","toy."
"255","like"
"256","new"
"257","household"
"258","member!"
"259","trying"
"260","learn"
"261","different"
"262","featues"
"263","benefits"
"264","come"
"265","."
"266","1"
"267","5"
"268","30-jul-18"
"269","charcoal"
"270","fabric"
"271","love"
"272","size"
"273","2nd"
"274","generation"
"275","echo."
"276","still"
"277","needs"
"278","little"
"279","improvement"
"280","sound"
"281","1"
"282","4"
"283","30-jul-18"
"284","sandstone"
"285","fabric"
"286",""""
"287","liked"
"288","original"
"289","echo."
"290","shorter"
"291","greater"
"292","fabric/color"
"293","choices."
"294","miss"
"295","volume"
"296","ring"
"297","top,"
"298","now"
"299","just"
"300","plus/minus"
"301","buttons."
"302","big"
"303","deal"
"304","ring"
"305","w"
"306","comforting."
"307",":)"
"308",","
"309","well"
"310","like"
"311","use"
"312","standard"
"313","usb"
"314","charger"
"315","/port"
"316","instead"
"317","previous"
"318","round"
"319","pin."
"320",","
"321","guess"
"322","sounds"
"323",","
"324","seems"
"325","work"
"326",","
"327","still"
"328","answers"
"329","alexa/echo/computer."
"330","whats"
"331","like?"
"332",":)"""
"333","1"
"334","5"
"335","30-jul-18"
"336","charcoal"
"337","fabric"
"338","love"
"339","echo"
"340","good"
"341","music"
"342","sounds"
"343","playing"
"344","."
"345","alexa"
"346","understands"
"347","commands"
"348","difficult"
"349","times"
"350","find"
"351","specific"
"352","playlists"
"353","songs"
"354","spotify."
"355","good"
"356","amazon"
"357","music"
"358","lacking"
"359","major"
"360","programs."
"361","1"
"362","5"
"363","30-jul-18"
"364","charcoal"
"365","fabric"
"366",""""
"367","love"
"368","alexa!"
"369","use"
"370","play"
"371","music,"
"372","play"
"373","radio"
"374","itunes,"
"375","play"
"376","podcasts"
"377","anypod,"
"378","set"
"379","reminders."
"380","listen"
"381","flash"
"382","briefing"
"383","news"
"384","weather"
"385","every"
"386","morning."
"387","rely"
"388","custom"
"389","lists."
"390","like"
"391","able"
"392","voice"
"393","control"
"394","volume."
"395","sure"
"396","well"
"397","continue"
"398","find"
"399","new"
"400","uses.sometimes"
"401","bit"
"402","frustrating"
"403","alexa"
"404","doesnt"
"405","understand"
"406","saying."
"407","1"
"408","4"
"409","30-jul-18"
"410","heather"
"411","gray"
"412","fabric"
"413","set"
"414","days."
"415","still"
"416","adding"
"417","smart"
"418","home"
"419","devices"
"420","."
"421","speaker"
"422","great"
"423","playing"
"424","music."
"425","like"
"426","size,"
"427","stationed"
"428","kitchen"
"429","counter"
"430","it’s"
"431","intrusive"
"432","look"
"433","."
"434","1"
"435","5"
"436","30-jul-18"
"437","charcoal"
"438","fabric"
"439","love"
"440","."
"441","plays"
"442","sleep"
"443","sounds"
"444","immediately"
"445","ask"
"446","1"
"447","3"
"448","30-jul-18"
"449","sandstone"
"450","fabric"
"451","got"
"452","second"
"453","unit"
"454","bedroom,"
"455","expecting"
"456","sounds"
"457","improved"
"458","didnt"
"459","really"
"460","see"
"461","difference"
"462","."
"463","overall,"
"464","big"
"465","improvement"
"466","1st"
"467","generation."
"468","1"
"469","5"
"470","30-jul-18"
"471","sandstone"
"472","fabric"
"473","amazing"
"474","product"
"475","1"
"476","5"
"477","30-jul-18"
"478","charcoal"
"479","fabric"
"480","love"
"481","echo."
"482","easy"
"483","operate,"
"484","loads"
"485","fun."
"486","everything"
"487","advertised."
"488","use"
"489","mainly"
"490","play"
"491","favorite"
"492","tunes"
"493","test"
"494","alexas"
"495","knowledge."
"496","1"
"497","5"
"498","30-jul-18"
"499","charcoal"
"500","fabric"
"501","sounds"
"502","great!!"
"503","love"
"504","!"
"505","1"
"506","4"
"507","30-jul-18"
"508","charcoal"
"509","fabric"
"510","fun"
"511","item"
"512","play"
"513","get"
"514","used"
"515","using."
"516","sometimes"
"517","hard"
"518","time"
"519","answering"
"520","questions"
"521","ask,"
"522","think"
"523","will"
"524","better."
"525","1"
"526","5"
"527","30-jul-18"
"528","charcoal"
"529","fabric"
"530","just"
"531","like"
"532","one"
"533","1"
"534","5"
"535","30-jul-18"
"536","sandstone"
"537","fabric"
"538","still"
"539","learning"
"540","capabilities..."
"541","far"
"542","pretty"
"543","pretty"
"544","pretty"
"545","good"
"546","1"
"547","4"
"548","30-jul-18"
"549","charcoal"
"550","fabric"
"551","like"
"552","1"
"553","5"
"554","30-jul-18"
"555","sandstone"
"556","fabric"
"557","works"
"558","well."
"559","needs"
"560","learning"
"561","command"
"562","unique,"
"563","owners"
"564","users"
"565","like."
"566","alexa"
"567","“learn”"
"568","tasha’s"
"569","birthday."
"570","alexa"
"571","“learn”"
"572","definition"
"573","fine."
"574","etc."
"575","great"
"576","1"
"577","3"
"578","30-jul-18"
"579","heather"
"580","gray"
"581","fabric"
"582","speakers"
"583","sound"
"584","pretty"
"585","good"
"586","small"
"587","setup"
"588","pretty"
"589","easy."
"590","bought"
"591","two"
"592","reason"
"593","rate"
"594","3"
"595","followed"
"596","instructions"
"597","synching"
"598","music"
"599","units."
"600","know"
"601","done"
"602","correctly"
"603","sync."
"604","primary"
"605","motivation"
"606","purchasing"
"607","multiple"
"608","units."
"609","1"
"610","5"
"611","30-jul-18"
"612","charcoal"
"613","fabric"
"614","device"
"615","awesome!"
"616","1"
"617","5"
"618","30-jul-18"
"619","charcoal"
"620","fabric"
"621","bought"
"622","compare"
"623","speaker"
"624","quality"
"625","first"
"626","generation"
"627","speaker"
"628","like"
"629","sound"
"630","better."
"631","will"
"632","ship"
"633","daughter"
"634","though"
"635","like"
"636","fact"
"637","first"
"638","generation"
"639","chargeable"
"640","base"
"641","bought"
"642","keeps"
"643","mobile"
"644","needs"
"645","better"
"646","sound"
"647","now."
"648","1"
"649","5"
"650","30-jul-18"
"651","sandstone"
"652","fabric"
"653","love"
"654","echo."
"655","still"
"656","learning"
"657","things"
"658","will"
"659","."
"660","wasn’t"
"661","able"
"662","follow"
"663","instructions"
"664","included"
"665","package,"
"666","found"
"667","great"
"668","one"
"669","u-tube."
"670","1"
"671","4"
"672","30-jul-18"
"673","heather"
"674","gray"
"675","fabric"
"676","speaker"
"677","better"
"678","1st"
"679","generation"
"680","echo"
"681","1"
"682","5"
"683","30-jul-18"
"684","charcoal"
"685","fabric"
"686","thing"
"687","way"
"688","cool!"
"689","get"
"690","one."
"691","want"
"692","cool,"
"693","."
"694","1"
"695","5"
"696","30-jul-18"
"697","heather"
"698","gray"
"699","fabric"
"700","first"
"701","digital"
"702","assistant"
"703","im"
"704","giving"
"705","good"
"706","review."
"707","speaker"
"708","really"
"709","good"
"710","cheap"
"711","price"
"712","prime"
"713","day."
"714","fun"
"715","play"
"716","can"
"717","used"
"718","alarm"
"719","clock"
"720","(thats"
"721","going"
"722","get"
"723","first"
"724","place,"
"725","ended"
"726","echo)."
"727","havent"
"728","go"
"729","one"
"730","definitely"
"731","try"
"732","!"
"733","like"
"734","best"
"735","number"
"736","devices"
"737","can"
"738","connect"
"739","."
"740","purchase"
"741","came"
"742","smart"
"743","plug"
"744","$10"
"745","connect"
"746","lamp"
"747","."
"748","alexa,"
"749","turn"
"750","lights!"""
"751","1"
"752","5"
"753","30-jul-18"
"754","charcoal"
"755","fabric"
"756","husband"
"757","likes"
"758","able"
"759","use"
"760","listen"
"761","music."
"762","wish"
"763","knew"
"764","capabilities"
"765",""
"766","android"
"767","allow"
"768","alexa"
"769","connect."
"770","fortunately,"
"771","sister"
"772","apple"
"773","cell."
"774","hour+"
"775","tech"
"776","support"
"777","fixed"
"778","glitches."
"779","running."
"780",""
"781","far"
"782","good"
"783","tried"
"784","play"
"785","certain"
"786","broadway"
"787","shows"
"788","like"
"789","camelot"
"790","gives"
"791","ne"
"792","group"
"793","camelot."
"794","great"
"795",""
"796","satisfied"
"797","echo."
"798","alexa"
"799","now"
"800","controls"
"801","lights"
"802","family"
"803","room"
"804","wife"
"805","can"
"806","listen"
"807","jimmy"
"808","buffet"
"809","just"
"810","asking"
"811","alexa."
"812",""
"813","like"
"814","siri,"
"815","fact,"
"816","siri"
"817","answers"
"818","accurately"
"819","alexa."
"820","see"
"821","real"
"822","need"
"823","household,"
"824","though"
"825","good"
"826","bargain"
"827","prime"
"828","day"
"829","deals."
"830","love"
"831","echo."
"832","still"
"833","learning"
"834","every"
"835","thing"
"836","works"
"837","tons"
"838","fun."
"839",""
"840","love"
"841","much"
"842",""
"843","different"
"844","apple."
"845","play"
"846","specific"
"847","list"
"848","music"
"849","must"
"850","amazon"
"851","spotify"
"852","“plus/prime/etc”"
"853","account."
"854","must"
"855","pay"
"856","play"
"857","“your”"
"858","music."
"859","3"
"860","stars"
"861","reason."
"862","everything"
"863","else"
"864","��������"
"865","."
"866","excelente,"
"867","lo"
"868","unico"
"869","es"
"870","que"
"871","esta"
"872","en"
"873","espa�ol."
"874",""
"875","still"
"876","learning"
"877","use"
"878",","
"879","far"
"880","echo"
"881","great!"
"882","sound"
"883","actually"
"884","much"
"885","better"
"886","expecting."
"887","works"
"888","you’d"
"889","expect"
"890","."
"891","also"
"892","good"
"893","sound"
"894","quality"
"895","considering"
"896","price"
"897","(70.00"
"898","sale)"
"899","features."
"900",""
"901","sound"
"902","echo"
"903","2nd"
"904","generation"
"905","phenomenal!"
"906","mention"
"907","just"
"908","love"
"909","alexa!"
"910","helpful."
"911","like"
"912","google"
"913","better"
"914","just"
"915","now"
"916","lets"
"917","play"
"918","learn"
"919","get"
"920","."
"921","works"
"922","advertised."
"923","easy"
"924","setup."
"925","still"
"926","learning"
"927","can"
"928","."
"929","great"
"930","sound"
"931","easy"
"932","set"
"933","."
"934","love"
"935","alexa,"
"936","bought"
"937","others"
